m_a[eV],g_agamma[GeV^-1]
1.000000000000000072e-18,1.728940537174690988e-13
1.456348477501238354e-18,1.728938544662306120e-13
2.120950887920192730e-18,1.728934318751413643e-13
3.088843596477472264e-18,1.728925356296877200e-13
4.498432668969453195e-18,1.728906349597298008e-13
6.551285568595495638e-18,1.728866047335410196e-13
9.540954763499963543e-18,1.728780613262399841e-13
1.389495494373135978e-17,1.728599614379972419e-13
2.023589647725163781e-17,1.728216635581685420e-13
2.947051702551810016e-17,1.727408450376314643e-13
4.291934260128760569e-17,1.811522586326790935e-13
6.250551925273975800e-17,1.804775428581347119e-13
9.102981779915189942e-17,1.791830137737661782e-13
1.325711365590110852e-16,1.770280183347705758e-13
1.930697728883245618e-16,1.749088156180880455e-13
2.811768697974225282e-16,1.796596020720952955e-13
4.094915062380419030e-16,1.931941620950523149e-13
5.963623316594636424e-16,2.062625247569186741e-13
8.685113737513520437e-16,2.487153769732602330e-13
1.264855216855295813e-15,3.461230679700624852e-13
1.842069969326716268e-15,5.562675841615125100e-13
2.682695795279727272e-15,7.615287183060109626e-13
3.906939937054620916e-15,1.146608332871709951e-12
5.689866029018281758e-15,1.629588622239202452e-12
8.286427728546859489e-15,2.593768568809830791e-12
1.206792640639326355e-14,3.483239364141233817e-12
1.757510624854789484e-14,5.201658781392083391e-12
2.559547922699533065e-14,8.022028325776026823e-12
3.727593720314937820e-14,1.120085712723998445e-11
5.428675439323859629e-14,1.624398265637543028e-11
7.906043210907669739e-14,1.950812301976364987e-11
1.151395399326448185e-13,2.898358923610216580e-11
1.676832936811003144e-13,3.032329070866186837e-11
2.442053094548654845e-13,4.778099249677701007e-11
3.556480306223121157e-13,1.472118805633938794e-10
5.179474679231201716e-13,3.824781029572375633e-07
7.543120063354607131e-13,1.318912162465715500e-06
1.098541141987557345e-12,3.426114379608188153e-06
1.599858719606057292e-12,5.777701697967569424e-06
2.329951810515362297e-12,1.539526368971795328e-05
3.393221771895329607e-12,3.346900876617090235e-05
4.941713361323818110e-12,8.338951560509132101e-05
7.196856730011528489e-12,1.616727003016941500e-04
1.048113134154683065e-11,3.483700783360922518e-04
1.526417967175230222e-11,7.506392912452975125e-04
2.222996482526191119e-11,5.872262418426506606e-04
3.237457542817640036e-11,3.427960093371137506e-03
4.714866363457389830e-11,7.921020167684807850e-03
6.866488450042998923e-11,5.736600360601848414e-03
1.000000000000000036e-10,nan
