m_a[eV],g_agamma[GeV^-1]
1.000000000000000072e-18,2.262244933719531039e-13
1.456348477501238354e-18,2.262243313618851600e-13
2.120950887920192730e-18,2.262239877860712302e-13
3.088843596477472264e-18,2.262232592567070460e-13
4.498432668969453195e-18,2.262217148827011997e-13
6.551285568595495638e-18,2.262184429443821288e-13
9.540954763499963543e-18,2.262115195309468715e-13
1.389495494373135978e-17,2.261969082056145242e-13
2.023589647725163781e-17,2.261662461009700220e-13
2.947051702551810016e-17,2.261026867980895423e-13
4.291934260128760569e-17,2.214948132582532279e-13
6.250551925273975800e-17,2.211893221449727152e-13
9.102981779915189942e-17,2.206737036489909480e-13
1.325711365590110852e-16,2.201729367714069716e-13
1.930697728883245618e-16,2.217698570153524877e-13
2.811768697974225282e-16,2.372647999648735864e-13
4.094915062380419030e-16,2.840198549185939899e-13
5.963623316594636424e-16,3.660412181909344230e-13
8.685113737513520437e-16,4.701730665600575635e-13
1.264855216855295813e-15,6.485765135409150711e-13
1.842069969326716268e-15,7.831262521015498594e-13
2.682695795279727272e-15,1.187103420799025953e-12
3.906939937054620916e-15,1.769112722313871395e-12
5.689866029018281758e-15,2.201506990150284516e-12
8.286427728546859489e-15,3.347490170085637593e-12
1.206792640639326355e-14,5.009067127128936046e-12
1.757510624854789484e-14,6.491763119155649878e-12
2.559547922699533065e-14,9.705328499745924031e-12
3.727593720314937820e-14,1.445968292686040161e-11
5.428675439323859629e-14,2.021253312614441558e-11
7.906043210907669739e-14,2.683211763244362023e-11
1.151395399326448185e-13,3.965001926040315641e-11
1.676832936811003144e-13,5.771945140865116738e-11
2.442053094548654845e-13,8.192749697104970396e-11
3.556480306223121157e-13,1.087542182444730534e-10
5.179474679231201716e-13,1.246388926848598994e-10
7.543120063354607131e-13,1.686494988920177318e-10
1.098541141987557345e-12,2.024608290593171201e-10
1.599858719606057292e-12,1.893373155178471652e-10
2.329951810515362297e-12,1.255428753474092130e-10
3.393221771895329607e-12,3.334749637666106631e-10
4.941713361323818110e-12,5.601990816165602348e-10
7.196856730011528489e-12,8.717675526892600460e-10
1.048113134154683065e-11,2.184129410409632903e-06
1.526417967175230222e-11,5.987084290113406544e-04
2.222996482526191119e-11,3.424018162654092045e-04
3.237457542817640036e-11,3.215494258295963775e-03
4.714866363457389830e-11,6.733929811442452770e-03
6.866488450042998923e-11,nan
1.000000000000000036e-10,nan
